Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Shisa3	31.91803723481416	-0.5336553892429335	0.27455947912310597	0.5119187364687929	0.6244125469676612	FALSE
Ankrd49	492.26911678128215	-0.5337083034531417	0.06637215475258133	7.146029565886935e-16	1.0546231869132483e-14	TRUE
Gm22881	1.681805922161859	-0.5337652889014053	0.38620385464836676	0.11483771176403694	0.19163665151370587	FALSE
Triml1	9.515638592951614	-0.5341100293795225	0.20384248159537358	0.006857113649909567	0.01684988858580455	TRUE
Ssu2	8.041971367693412	-0.5341942703074407	0.3009474692628422	0.0581403811341798	0.10814810165662574	FALSE
Atp2c2	50.14083074882255	-0.5343461527561766	0.3755860539051639	0.11597606713132026	0.19312238907265572	FALSE
Gatad2a	1378.6997290206236	-0.5346475085124772	0.1335832229170727	3.809837007529732e-5	1.541134353816219e-4	TRUE
Enpp3	26.972287112634856	-0.5346523844371991	0.2898154871641146	0.050665127991486356	0.09621736049320331	FALSE
Wfdc6a	0.439026129194119	-0.5347797816868086	0.7145256320429054	0.32414297868070147	0.44245849707473334	FALSE
Tmt1a3	6.258673686537903	-0.5349616431095121	0.24518869127567405	0.021791268065300722	0.04663508984119897	TRUE
Mir3081	0.15991402558952994	-0.5353472313459198	0.9261521136033884	0.526217196404043	0.6376165438585076	FALSE
Igf1	299.69417249658403	-0.5354032719246976	0.26464990421315293	0.033689092010855494	0.06785902744024239	FALSE
Btbd18	3.1328311379842013	-0.5354100917348011	0.36383659426158166	0.10213566832118337	0.17382701485895333	FALSE
Slc39a6	2589.21416558457	-0.5354805938129354	0.19709275967972434	0.004888316033659027	0.01245381654519021	TRUE
Vmn2r95	50.49646997408325	-0.5358475093897369	0.10738464519491277	4.77064347722466e-7	2.6957239668601804e-6	TRUE
Adam9	2706.789767228252	-0.5358611009033751	0.06624482157556331	4.978227578076563e-16	7.424595687778652e-15	TRUE
Cib3	2.5854732081666887	-0.5358749781496853	0.5781023908711135	0.2310648325608874	0.3388170607977685	FALSE
Hipk1	7724.48928356236	-0.5358933901816234	0.11622786781504005	2.8023312545922653e-6	1.3861257333777295e-5	TRUE
Gng12	3285.403279274132	-0.536097462739909	0.14324917131257764	1.4692940045545402e-4	5.298939246580661e-4	TRUE
Or2h15	2.6369963107406855	-0.5363494153567974	0.35242984044398334	0.09133941714220256	0.15817501641774168	FALSE
Tmem229b	1490.785088680495	-0.5364624246307957	0.08854793524766487	1.1126255651099365e-9	8.943782577494613e-9	TRUE
Golph3l	848.6120375136935	-0.5365532226498907	0.07165898159438838	5.6405573688322765e-14	7.067912618658869e-13	TRUE
Plb1	51.84509930639438	-0.5365870509533226	0.35644880272203294	0.10003207485370219	0.17066785517949817	FALSE
Gnai3	1851.2453313002675	-0.536821688806881	0.08265125027777599	6.773950229119436e-11	6.302257773939713e-10	TRUE
Pdia3	8690.564584588672	-0.5370677161886014	0.06164792946184982	2.420656074238081e-18	4.143928290848815e-17	TRUE
Blm	241.22262221139786	-0.5372859460760645	0.15870069408371243	5.687497016081848e-4	0.0018136376588494298	TRUE
Rtl3	66.49152651268456	-0.5374549614191158	0.7567866888322639	0.2655171059735997	0.3786872317384968	FALSE
Myom1	177.3524533656387	-0.53748308567347	0.22595028935529024	0.013776486525753005	0.031235371598704976	TRUE
Or4c10	3.8282291869468943	-0.5376186578161128	0.31205132614124975	0.06133008450847623	0.11316482019426444	FALSE
Atp1a2	53019.382986541095	-0.5376382660271074	0.10926846957171164	4.34447814787714e-7	2.4728590012368494e-6	TRUE
Or8b55	1.0309186892608884	-0.5377058276929172	0.4872307136749539	0.1776083264252361	0.27387803118772325	FALSE
Gm12592	141.65077664978392	-0.5378343927163757	0.08645773232993284	3.7895252210917684e-10	3.221667149557686e-9	TRUE
Jag1	445.7890295300199	-0.5381107442999197	0.1380640962129314	7.877757465947927e-5	2.988571296725541e-4	TRUE
Sertm1	1650.1805448475548	-0.5382904788532207	0.4255765205895538	0.15052265264245013	0.2393016613860821	FALSE
Btbd35f4	0.17145753685740592	-0.5386678849727767	0.8886667585969458	0.5294435555973871	0.6403575705923724	FALSE
Tmem252	356.858017868195	-0.5386686642396689	0.15157628915621904	3.031062771535344e-4	0.0010248786669851463	TRUE
C1galt1	1089.6596800994823	-0.539317009286066	0.09554602953082852	1.3480981243080536e-8	9.421249039577793e-8	TRUE
Gm19589	1.5328483244178326	-0.5393205724756974	0.43669957933264864	0.1441885918912454	0.23113576635697292	FALSE
Lipn	0.24492403153282072	-0.5394147513982122	0.8965945076944555	0.40615566330502195	0.5249868268033314	FALSE
Egfr	1161.0497575261388	-0.5398193872422163	0.20891940812723012	0.007744567585482728	0.018770197413503702	TRUE
